Hour	Heat source [kW]
1230	0.083405865
1231	0.08556503
1232	0.066684726
1233	0.054371533
1234	0.039686544
1235	0.034591161
1236	0.039015249
1237	0.040828747
1238	0.044913291
1239	0.064137035
1240	0.083939673
1241	0.114828136
1242	0.118074398
1243	0.102326246
1244	0.102704754
1245	0.074399049
1246	0.060296294
1247	0.063338829
1248	0.06375797
1249	0.062894639
1250	0.060277368
1251	0.063962253
1252	0.074271025
1253	0.085965803
1254	0.085150898
1255	0.052478994
1256	0.051928488
1257	0.041586876
1258	0.033279186
1259	0.039596926
1260	0.039407116
1261	0.03801777
1262	0.043664215
1263	0.064374159
1264	0.100538353
1265	0.099251427
1266	0.077644754
1267	0.054429979
1268	0.03529474
1269	0.03726632
1270	0.047718702
1271	0.030899596
1272	0.023160225
1273	0.029451247
1274	0.035829104
1275	0.033304234
1276	0.041680389
1277	0.057359519
1278	0.065412829
1279	0.04596365
1280	0.027034364
1281	0.020942614
1282	0.027357208
1283	0.021962359
1284	0.022423248
1285	0.031413922
1286	0.026606872
1287	0.041083683
1288	0.092603049
1289	0.093911127
1290	0.133236975
1291	0.100153166
1292	0.118202979
1293	0.082942193
1294	0.099675578
1295	0.099113383
1296	0.119183203
1297	0.126263525
1298	0.085970256
1299	0.119084679
1300	0.097743519
1301	0.12021742
1302	0.123845528
1303	0.085179286
1304	0.051610653
1305	0.063669466
1306	0.056336991
1307	0.061451856
1308	0.041903041
1309	0.050747878
1310	0.077981515
1311	0.122135564
1312	0.131982333
1313	0.114941689
1314	0.116931081
1315	0.078863215
1316	0.09011269
1317	0.081540601
1318	0.073803456
1319	0.054834649
1320	0.051802133
1321	0.074938423
1322	0.062074724
1323	0.080246995
1324	0.077464406
1325	0.105424444
1326	0.077295747
1327	0.089199818
1328	0.051957989
1329	0.068465383
1330	0.045812804
1331	0.051955206
1332	0.060655876
1333	0.060667009
1334	0.077990421
1335	0.132561227
1336	0.137450101
1337	0.157410265
1338	0.099927731
1339	0.083721474
1340	0.08823017
1341	0.076427406
1342	0.052016992
1343	0.048205753
1344	0.0481384
1345	0.038323916
1346	0.037792891
1347	0.048323201
1348	0.058902495
1349	0.071405498
1350	0.053084607
1351	0.057946762
1352	0.041705438
1353	0.046235842
1354	0.029581498
1355	0.04493333
1356	0.03528806
1357	0.038624495
1358	0.050071573
1359	0.088188423
1360	0.097710677
1361	0.104441437
1362	0.055792051
1363	0.050141709
1364	0.04260996
1365	0.030837254
1366	0.033010334
1367	0.020709943
1368	0.014761805
1369	0.016740064
1370	0.019303898
