Hour	Mass flow rate [kg/h]	Temperature [C]
1121	0.119615704	80
1122	0.096140427	80
1123	0.075144933	80
1124	0.053993026	80
1125	0.042379515	80
1126	0.040444673	80
1127	0.032117501	80
1128	0.026408156	80
1129	0.018620914	80
1130	0.017373508	80
1131	0.021170832	80
1132	0.034382981	80
1133	0.050797974	80
1134	0.04834658	80
1135	0.055226516	80
1136	0.056128255	80
1137	0.036640669	80
1138	0.050350445	80
1139	0.045409804	80
1140	0.058786716	80
1141	0.06717623	80
1142	0.071398818	80
1143	0.122135564	80
1144	0.127473637	80
1145	0.091785917	80
1146	0.092348112	80
1147	0.086576982	80
1148	0.078124012	80
1149	0.113271801	80
1150	0.079287923	80
1151	0.085453704	80
1152	0.089559957	80
1153	0.088984403	80
1154	0.102878422	80
1155	0.1014323	80
1156	0.097337736	80
1157	0.102564483	80
1158	0.080457401	80
1159	0.11284431	80
1160	0.070493183	80
1161	0.05916578	80
1162	0.052996659	80
1163	0.062754368	80
1164	0.043408166	80
1165	0.053317834	80
1166	0.067004232	80
1167	0.116715109	80
1168	0.132884072	80
1169	0.103259157	80
1170	0.099235841	80
1171	0.07873519	80
1172	0.075899722	80
1173	0.057260439	80
1174	0.043166589	80
1175	0.049468744	80
1176	0.030565619	80
1177	0.048914341	80
1178	0.043073075	80
1179	0.067510207	80
1180	0.069164509	80
1181	0.074362869	80
1182	0.078043857	80
1183	0.066164278	80
1184	0.047642444	80
1185	0.041182763	80
1186	0.042627772	80
1187	0.036327844	80
1188	0.04671677	80
1189	0.074601663	80
1190	0.102157031	80
1191	0.111049181	80
1192	0.161739726	80
1193	0.152811395	80
1194	0.14052659	80
1195	0.142492604	80
1196	0.128985442	80
1197	0.106973543	80
1198	0.10899021	80
1199	0.113472188	80
1200	0.068100234	80
1201	0.09233364	80
1202	0.094990988	80
1203	0.085299518	80
1204	0.089532682	80
1205	0.091732481	80
1206	0.101175137	80
1207	0.12664426	80
1208	0.065852009	80
1209	0.071517937	80
1210	0.053142496	80
1211	0.047340194	80
1212	0.060655876	80
1213	0.054255755	80
1214	0.084624327	80
1215	0.142882245	80
1216	0.122177867	80
1217	0.142424695	80
1218	0.125358446	80
1219	0.123285003	80
1220	0.092638673	80
1221	0.088170054	80
1222	0.102450931	80
1223	0.098643588	80
1224	0.059207527	80
1225	0.08466997	80
1226	0.058650898	80
1227	0.080655561	80
1228	0.076272107	80
1229	0.073443874	80
1230	0.083405865	80
1231	0.08556503	80
1232	0.066684726	80
1233	0.054371533	80
1234	0.039686544	80
1235	0.034591161	80
1236	0.039015249	80
1237	0.040828747	80
1238	0.044913291	80
1239	0.064137035	80
1240	0.083939673	80
1241	0.114828136	80
1242	0.118074398	80
1243	0.102326246	80
1244	0.102704754	80
1245	0.074399049	80
1246	0.060296294	80
1247	0.063338829	80
1248	0.06375797	80
1249	0.062894639	80
1250	0.060277368	80
1251	0.063962253	80
1252	0.074271025	80
1253	0.085965803	80
1254	0.085150898	80
1255	0.052478994	80
1256	0.051928488	80
1257	0.041586876	80
1258	0.033279186	80
1259	0.039596926	80
1260	0.039407116	80
1261	0.03801777	80
1262	0.043664215	80
1263	0.064374159	80
1264	0.100538353	80
1265	0.099251427	80
1266	0.077644754	80
1267	0.054429979	80
1268	0.03529474	80
1269	0.03726632	80
1270	0.047718702	80
1271	0.030899596	80
1272	0.023160225	80
1273	0.029451247	80
1274	0.035829104	80
1275	0.033304234	80
1276	0.041680389	80
1277	0.057359519	80
1278	0.065412829	80
1279	0.04596365	80
1280	0.027034364	80
1281	0.020942614	80
1282	0.027357208	80
1283	0.021962359	80
1284	0.022423248	80
1285	0.031413922	80
1286	0.026606872	80
1287	0.041083683	80
1288	0.092603049	80
1289	0.093911127	80
1290	0.133236975	80
1291	0.100153166	80
1292	0.118202979	80
1293	0.082942193	80
1294	0.099675578	80
1295	0.099113383	80
1296	0.119183203	80
1297	0.126263525	80
1298	0.085970256	80
1299	0.119084679	80
1300	0.097743519	80
1301	0.12021742	80
1302	0.123845528	80
1303	0.085179286	80
1304	0.051610653	80
1305	0.063669466	80
1306	0.056336991	80
1307	0.061451856	80
1308	0.041903041	80
1309	0.050747878	80
1310	0.077981515	80
1311	0.122135564	80
1312	0.131982333	80
1313	0.114941689	80
1314	0.116931081	80
1315	0.078863215	80
1316	0.09011269	80
1317	0.081540601	80
1318	0.073803456	80
1319	0.054834649	80
1320	0.051802133	80
1321	0.074938423	80
1322	0.062074724	80
1323	0.080246995	80
1324	0.077464406	80
1325	0.105424444	80
1326	0.077295747	80
1327	0.089199818	80
1328	0.051957989	80
1329	0.068465383	80
1330	0.045812804	80
1331	0.051955206	80
1332	0.060655876	80
1333	0.060667009	80
1334	0.077990421	80
1335	0.132561227	80
1336	0.137450101	80
1337	0.157410265	80
1338	0.099927731	80
1339	0.083721474	80
1340	0.08823017	80
1341	0.076427406	80
1342	0.052016992	80
1343	0.048205753	80
1344	0.0481384	80
1345	0.038323916	80
1346	0.037792891	80
1347	0.048323201	80
1348	0.058902495	80
1349	0.071405498	80
1350	0.053084607	80
1351	0.057946762	80
1352	0.041705438	80
1353	0.046235842	80
