Hour	Heat demand [kW]
1039	0.216933018
1040	0.18631084
1041	0.176177522
1042	0.169344198
1043	0.171321972
1044	0.170421974
1045	0.165388648
1046	0.158833102
1047	0.159055324
1048	0.166177536
1049	0.178944184
1050	0.189010836
1051	0.200710818
1052	0.199444154
1053	0.18529973
1054	0.131366476
1055	0.108810952
1056	0.106499844
1057	0.10583318
1058	0.1075554
1059	0.115810942
1060	0.143533124
1061	0.204599702
1062	0.26525517
1063	0.251477412
1064	0.24182187
1065	0.223721896
1066	0.205466368
1067	0.178444184
1068	0.164988648
1069	0.156299772
1070	0.150199782
1071	0.146910898
1072	0.159977544
1073	0.191755276
1074	0.211488582
1075	0.22619967
1076	0.223077454
1077	0.204621924
1078	0.146055342
1079	0.124766486
1080	0.121422046
1081	0.121022046
1082	0.121822044
1083	0.128044258
1084	0.158766436
1085	0.234799658
1086	0.290455132
1087	0.272210714
1088	0.265377392
1089	0.217377462
1090	0.208477474
1091	0.199833042
1092	0.185377508
1093	0.180966404
1094	0.172388638
1095	0.16997753
1096	0.176088632
1097	0.184066398
1098	0.189010836
1099	0.183255288
1100	0.171855306
1101	0.156310884
1102	0.106322068
1103	0.086333208
1104	0.082333214
1105	0.081977658
1106	0.094033196
1107	0.112555392
1108	0.146588676
1109	0.21035525
1110	0.274255156
1111	0.263566284
1112	0.248555194
1113	0.22213301
1114	0.197944156
1115	0.174166414
1116	0.167710866
1117	0.162788652
1118	0.152666444
1119	0.152988666
1120	0.18104418
1121	0.222510788
1122	0.226044116
1123	0.2369441
1124	0.23227744
1125	0.21187747
1126	0.147777562
1127	0.12694426
1128	0.124266486
1129	0.136199802
1130	0.139099798
1131	0.146777564
1132	0.185155286
1133	0.275066266
1134	0.357066146
1135	0.343043946
1136	0.332655072
1137	0.309288438
1138	0.29427735
1139	0.271099606
1140	0.253321854
1141	0.230299664
1142	0.22659967
1143	0.227033002
1144	0.246732974
1145	0.25582185
1146	0.267044056
1147	0.275855154
1148	0.272988492
1149	0.254155186
1150	0.178010852
1151	0.147966452
1152	0.144166456
1153	0.145599788
1154	0.151110892
1155	0.167155312
1156	0.213577466
1157	0.316766206
1158	0.416477172
1159	0.408688294
1160	0.3965772
1161	0.364743914
1162	0.327388412
1163	0.301032896
1164	0.281855146
1165	0.264066282
1166	0.25247741
1167	0.252521854
1168	0.26779961
1169	0.295555126
1170	0.31731065
1171	0.332221738
1172	0.333410626
1173	0.308510662
1174	0.216877462
1175	0.180599738
1176	0.178988628
1177	0.184644176
1178	0.194677494
1179	0.211155248
1180	0.27043294
1181	0.38865499
1182	0.502888156
1183	0.46051044
1184	0.42853271
1185	0.390099432
1186	0.34695505
1187	0.311010658
1188	0.285932918
1189	0.26535517
1190	0.25247741
1191	0.252521854
1192	0.26779961
1193	0.294266238
1194	0.315988428
1195	0.334899512
1196	0.339977282
1197	0.321799532
1198	0.228977444
1199	0.188566392
1200	0.185377508
1201	0.187544172
1202	0.194677494
1203	0.21278858
1204	0.269410718
1205	0.390099432
1206	0.504688154
1207	0.474332642
1208	0.438632694
1209	0.38693277
1210	0.33943284
1211	0.298188454
1212	0.272344048
1213	0.25237741
1214	0.241388538
1215	0.241599648
1216	0.25541074
1217	0.276332932
1218	0.286888472
1219	0.294644016
1220	0.295321792
1221	0.279521816
1222	0.200466374
1223	0.168999754
1224	0.166899758
1225	0.170188642
1226	0.17889974
1227	0.194866384
1228	0.249110748
1229	0.36277725
1230	0.463277104
1231	0.439788248
1232	0.399943862
1233	0.348899492
1234	0.30331067
1235	0.261121842
1236	0.234299658
1237	0.213421912
1238	0.201955262
1239	0.196688602
1240	0.20955525
1241	0.236599656
1242	0.251177412
1243	0.27317738
1244	0.267732944
1245	0.250532968
1246	0.180599738
1247	0.152322
1248	0.148422006
1249	0.148499784
1250	0.155621996
1251	0.171233084
1252	0.219677458
1253	0.318199536
1254	0.412866066
1255	0.38795499
1256	0.344432832
1257	0.299777342
1258	0.273199602
1259	0.229766332
1260	0.205755256
1261	0.18875528
1262	0.171155306
1263	0.165121982
1264	0.17981085
1265	0.207133032
1266	0.220755234
1267	0.239621874
1268	0.23227744
1269	0.217910794
1270	0.151233114
1271	0.123310932
1272	0.119999826
1273	0.121744268
1274	0.124833152
1275	0.13537758
1276	0.170944196
1277	0.250621858
1278	0.322855086
1279	0.31021066
1280	0.280510702
1281	0.244321866
1282	0.214499688
1283	0.188421948
1284	0.167710866
1285	0.1446109
1286	0.130488698
1287	0.132344252
1288	0.146344232
